Unnamed: 0.1,Unnamed: 0,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
45667,45667,2015-11-17,Luminosity,Torqued,Mirage,16,7,1,1,9,6,7,1,1968,2299320,9,28,16,7,1,53.679550560106236,0.8,0.6,20,-19,0.5,1
45672,45672,2015-11-17,Natus Vincere,Virtus.pro,Dust2,16,5,1,2,5,1,11,4,1934,2299341,5,2,16,5,1,-123.71359581703791,-0.3888888888888889,-0.4888888888888889,-16,3,0.5,1
45665,45665,2015-11-17,HellRaisers,mousesports,Train,16,13,1,1,9,6,7,7,1934,2299342,20,8,16,13,1,-81.65868252635414,-0.5,-0.5833333333333334,-9,12,0.5,1
45664,45664,2015-11-17,mousesports,Envy,Cache,12,16,2,2,3,10,9,6,1934,2299347,8,1,12,16,2,48.91594174447778,0.06666666666666671,0.20512820512820512,4,7,0.5,0
45663,45663,2015-11-17,Torqued,CLG Red,Dust2,16,5,1,2,4,2,12,3,1968,2299315,28,30,16,5,1,5.735215039861714,0.0,0.0,0,-2,0.5,1
45662,45662,2015-11-17,Luminosity,Winterfox,Mirage,16,9,1,2,7,3,9,6,1968,2299318,9,22,16,9,1,120.25269697863905,0.6333333333333334,0.45238095238095244,15,-13,1.0,1
45661,45661,2015-11-17,Luminosity,CLG Red,Inferno,16,3,1,2,3,1,13,2,1968,2299319,9,30,16,3,1,112.91876028396246,0.8,0.6363636363636364,20,-21,0.5,1
45660,45660,2015-11-17,Liquid,SKDC,Overpass,16,10,1,1,10,5,6,5,1968,2299313,11,27,16,10,1,39.69234134198996,0.6,0.5555555555555556,17,-16,0.5,1
45666,45666,2015-11-17,CSGL,Games Academy,Cobblestone,10,16,2,2,2,9,8,7,1968,2299310,21,26,10,16,2,-88.58070978214937,-1.0,-1.0,4,-5,0.5,0
45627,45627,2015-11-18,Method,Liquid,Inferno,9,16,2,2,5,5,4,11,1968,2299364,25,11,0,2,2,-22.550029520493126,0.06666666666666665,0.08771929824561397,-16,14,0.5,0
45626,45626,2015-11-18,Luminosity,Enemy,Mirage,19,17,1,2,5,10,10,5,1968,2299365,9,24,2,0,1,75.78990010876782,0.13333333333333341,-0.01449275362318836,20,-15,0.5,1
45625,45625,2015-11-18,Luminosity,Enemy,Train,16,3,1,1,12,3,4,0,1968,2299365,9,24,2,0,1,100.91804814220245,0.30000000000000004,0.16666666666666663,20,-15,1.0,1
45624,45624,2015-11-18,Liquid,Games Academy,Cache,16,5,1,2,3,3,13,2,1968,2299312,11,26,16,5,1,24.828484743075933,-0.30000000000000004,-0.4,18,-15,0.5,1
45623,45623,2015-11-18,Cloud9,Games Academy,Cobblestone,19,15,1,2,8,7,7,8,1968,2299363,7,26,2,1,1,112.36283168848013,0.2333333333333334,0.0980392156862745,14,-19,0.5,1
45620,45620,2015-11-18,Renegades,Winterfox,Cobblestone,16,8,1,1,8,7,8,1,1968,2299362,17,22,2,0,1,95.606222647305,0.5238095238095237,0.5238095238095237,-1,-5,0.5,1
45621,45621,2015-11-18,fnatic,TSM,Dust2,16,11,1,2,5,7,11,4,1970,2299361,4,3,2,0,1,24.646914293361988,0.0,0.0,4,1,0.5,1
45619,45619,2015-11-18,Renegades,Winterfox,Mirage,16,14,1,1,8,7,8,7,1968,2299362,17,22,2,0,1,119.01629378979123,0.5892857142857143,0.5892857142857143,-1,-5,1.0,1
45618,45618,2015-11-18,CSGL,SKDC,Train,16,11,1,2,8,4,8,7,1968,2299309,21,27,16,11,1,-54.40755489201683,0.0,0.0,4,-6,0.5,1
