season,date,event,patch,blue_team,red_team,winner,blue_team_win,elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
3,2013-09-28,Main,,Royal_Club,Fnatic,Royal_Club,1,-102.14071689487196,0.19999999999999996,0.19999999999999996,0.15000000000000002,-20,-2,0.0,1.0,0.6363636363636364
3,2013-09-28,Main,,Fnatic,Royal_Club,Fnatic,1,60.995177228755665,-0.4,-0.19999999999999996,-0.19999999999999996,20,0,-0.5,0.9090909090909091,1.0
3,2013-09-28,Main,,Royal_Club,Fnatic,Royal_Club,1,-87.43432651120725,0.15000000000000002,-0.050000000000000044,-0.050000000000000044,-20,0,0.0,1.0,0.5833333333333334
3,2013-09-28,Main,,Fnatic,Royal_Club,Royal_Club,0,47.54712964435089,-0.4,-0.10000000000000009,-0.050000000000000044,20,0,-0.16666666666666669,0.9166666666666666,0.5
3,2013-09-28,Main,,SK_Telecom_T1,NaJin_Black_Sword,SK_Telecom_T1,1,69.2641407027254,0.19999999999999996,0.275,0.275,2,-1,0.0,1.0,0.6
3,2013-09-28,Main,,NaJin_Black_Sword,SK_Telecom_T1,SK_Telecom_T1,0,-94.9678697829745,-0.4,-0.4444444444444444,-0.3535353535353535,-2,0,-0.5,0.6666666666666666,0.8
3,2013-09-28,Main,,SK_Telecom_T1,NaJin_Black_Sword,NaJin_Black_Sword,0,118.43252567449645,0.6,0.5,0.41666666666666663,2,0,0.5,1.0,0.5
3,2013-09-28,Main,,NaJin_Black_Sword,SK_Telecom_T1,SK_Telecom_T1,0,-75.92822441525504,-0.20000000000000007,-0.4,-0.30069930069930073,-2,0,-0.16666666666666669,0.5,0.8333333333333334
3,2013-09-28,Main,,SK_Telecom_T1,NaJin_Black_Sword,NaJin_Black_Sword,0,101.04422086766817,0.4,0.4,0.3571428571428571,2,0,0.25,0.8571428571428571,0.5714285714285714
3,2013-10-05,Main,,SK_Telecom_T1,Royal_Club,SK_Telecom_T1,1,20.390723307592907,-0.20000000000000007,-0.033333333333333326,-0.033333333333333326,9,0,0.0,0.75,0.6666666666666666
3,2013-10-05,Main,,SK_Telecom_T1,Royal_Club,SK_Telecom_T1,1,50.51482159283705,0.0,0.08571428571428574,0.0982142857142857,9,0,0.5,0.7777777777777778,0.5
3,2013-10-05,Main,,Royal_Club,SK_Telecom_T1,SK_Telecom_T1,0,-77.89474375308782,-0.19999999999999996,-0.17500000000000004,-0.19852941176470584,-9,0,-0.5,1.0,0.8571428571428571
4,2014-09-18,Main,4.14,Royal_Club,TSM,Royal_Club,1,107.63345317272888,0.2,0.35555555555555557,0.18713450292397665,-10,-13,0.0,0.75,0.25
4,2014-09-18,Main,4.14,Samsung_White,Ahq_eSports_Club,Samsung_White,1,19.98201787925518,0.09999999999999998,0.05555555555555558,0.05555555555555558,9,362,0.0,0.6,0.5
4,2014-09-18,Main,4.14,Taipei_Assassins,Royal_Club,Royal_Club,0,20.429462427817725,0.19999999999999996,0.1777777777777778,0.1777777777777778,-1,704,0.0,0.75,0.4
4,2014-09-18,Main,4.14,Dark_Passage,Ahq_eSports_Club,Ahq_eSports_Club,0,15.080807327129378,0.5,0.5,0.5,-1,-1,0.0,0.5,0.0
4,2014-09-18,Main,4.14,TSM,SK_Gaming,TSM,1,-31.695992737225197,0.0,0.2,0.35,17,-714,0.0,0.45454545454545453,0.0
4,2014-09-18,Main,4.14,EDward_Gaming,Samsung_White,Samsung_White,0,-35.06282520638456,-0.30000000000000004,-0.09999999999999998,-0.09999999999999998,-10,-1,0.0,0.5,0.5
4,2014-09-19,Main,4.14,EDward_Gaming,Ahq_eSports_Club,EDward_Gaming,1,-16.004010383857803,-0.5,-0.5,-0.5,-1,0,0.0,0.0,0.5
4,2014-09-19,Main,4.14,TSM,Taipei_Assassins,TSM,1,-116.0595792297488,-0.39999999999999997,-0.39999999999999997,-0.35,11,0,0.0,0.5,0.8
4,2014-09-19,Main,4.14,Dark_Passage,Samsung_White,Samsung_White,0,-66.14764291737174,-0.8,-0.7,-0.6363636363636364,-10,0,0.0,0.0,0.6
4,2014-09-19,Main,4.14,Royal_Club,SK_Gaming,Royal_Club,1,132.72481841851913,0.4,0.6,0.6363636363636364,7,0,0.0,0.8,0.0
4,2014-09-19,Main,4.14,EDward_Gaming,Dark_Passage,EDward_Gaming,1,32.02986395210314,0.5,0.5,0.5,0,0,0.0,0.5,0.5
4,2014-09-19,Main,4.14,Taipei_Assassins,SK_Gaming,Taipei_Assassins,1,108.28912719262144,0.4,0.6,0.6363636363636364,6,0,0.0,0.6,0.0
4,2014-09-20,Main,4.14,SK_Gaming,Taipei_Assassins,SK_Gaming,1,-130.6262235037252,-0.4,-0.6,-0.6666666666666666,-6,0,-0.5,0.0,0.6666666666666666
4,2014-09-20,Main,4.14,Dark_Passage,EDward_Gaming,EDward_Gaming,0,-61.08813354592735,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0,0,-0.5,0.0,0.5
4,2014-09-20,Main,4.14,Taipei_Assassins,TSM,TSM,0,63.17199197975242,-0.2,0.09999999999999998,0.26538461538461544,-9,-1,-0.5,0.6666666666666666,0.2222222222222222
4,2014-09-20,Main,4.14,Ahq_eSports_Club,Samsung_White,Samsung_White,0,-77.56688787757844,-0.46666666666666673,-0.36666666666666664,-0.3333333333333333,-9,0,-0.5,0.5,0.6666666666666666
4,2014-09-20,Main,4.14,SK_Gaming,Royal_Club,Royal_Club,0,-142.48355885798014,-0.39999999999999997,-0.45714285714285713,-0.5238095238095237,-5,-1,-0.5,0.3333333333333333,0.5
4,2014-09-20,Main,4.14,Samsung_White,Dark_Passage,Samsung_White,1,132.35843896279812,0.8,0.8,0.6923076923076923,9,0,0.5,0.6666666666666666,0.0
4,2014-09-21,Main,4.14,EDward_Gaming,Ahq_eSports_Club,EDward_Gaming,1,57.69963071462735,0.5,0.5,0.5,0,0,0.5,0.6666666666666666,0.3333333333333333
4,2014-09-21,Main,4.14,Samsung_White,EDward_Gaming,Samsung_White,1,41.65583383613375,0.19999999999999996,0.0,-0.08571428571428574,9,1,0.5,0.7142857142857143,1.0
4,2014-09-21,Main,4.14,SK_Gaming,TSM,SK_Gaming,1,-52.62028778013132,-0.39999999999999997,-0.275,-0.275,-15,0,-0.5,0.25,0.3
4,2014-09-21,Main,4.14,Ahq_eSports_Club,EDward_Gaming,Ahq_eSports_Club,1,-70.34280480977009,-0.6000000000000001,-0.4666666666666666,-0.4666666666666666,-1,0,-0.5,0.0,0.5
4,2014-09-21,Main,4.14,Royal_Club,Taipei_Assassins,Royal_Club,1,84.01249297791855,0.6000000000000001,0.19999999999999996,0.1208791208791209,-1,0,0.5,0.8333333333333334,0.5714285714285714
4,2014-09-21,Main,4.14,Ahq_eSports_Club,Dark_Passage,Ahq_eSports_Club,1,45.831581879108626,0.4,0.3333333333333333,0.3333333333333333,1,-1,0.5,0.5,0.0
4,2014-09-21,Main,4.14,TSM,Royal_Club,TSM,1,-140.0390698010517,-0.4,-0.29999999999999993,-0.3142857142857143,10,0,-0.5,0.5384615384615384,0.5714285714285714
4,2014-09-25,Main,4.14,Cloud9,KaBuM_21-_Esports,Cloud9,1,2.2215802958248787,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669,3,368,0.0,1.0,0.5
4,2014-09-25,Main,4.14,Fnatic,LMQ,LMQ,0,93.71328210674255,-0.09999999999999998,0.09999999999999998,0.19999999999999996,26,363,0.0,0.8461538461538461,0.5
4,2014-09-25,Main,4.14,Cloud9,Alliance,Cloud9,1,18.119274136678996,0.0,0.0,0.0,4,1,0.0,1.0,0.5
4,2014-09-25,Main,4.14,Samsung_Blue,Oh_My_God,Samsung_Blue,1,-37.75876262954512,0.09999999999999998,-0.19999999999999996,-0.19999999999999996,-10,-366,0.0,0.5,0.6
4,2014-09-25,Main,4.14,NaJin_White_Shield,KaBuM_21-_Esports,NaJin_White_Shield,1,15.897693840854117,0.5,0.5,0.5,-1,-1,0.0,0.5,0.0
